,name,neighbourhood,room_type,price,minimum_nights,number_of_reviews,availability_365
4118,Cozy 1 bdrm House in Zilker Neighborhood,78704,0,150,3,1,0
4119,Modern Jungalow/SXSW/Crestview Station Metrorail!,78757,0,350,1,0,0
4120,"Casa Comfy Hideaway Room, 20ish Min Dwntwn #1",78747,1,28,28,45,0
4121,1 Bedroom in desirable Travis Heights neighborhood,78704,0,140,1,1,0
4122,Perfect Two-Story for Large Family or Groups!,78728,0,155,3,2,0
4123,The Mariposa by Lodgewell>>Travis Heights Charmer,78704,0,149,1,97,175
4124,"Vibrant, Modern Guesthouse in the Heart of the City",78704,0,354,2,33,96
4125,Fantastic Room Close to Downtown ATX,78704,1,70,2,4,0
4126,Cozy one-bedroom in Perfect Location for SXSW,78705,0,175,2,1,0
4127,"Infinity House - Close to town, SoCo, COTA, ABIA",78741,0,275,3,14,0
4128,ACL 2 bedroom house minutes from downtown!,78741,0,25,2,2,0
4129,"Beautiful Ranch-Style Home, close to downtown!",78752,0,385,3,1,0
4130,Perfect last minute SXSW spot,78702,0,400,1,1,0
4131,★ Modern Spacious Guest Suite in Central Austin ★,78731,0,102,2,74,162
4132,Wyndham/Worldmark Austin- Studio sleeps 4,78701,0,176,2,6,0
4133,Airy Luxe and Modern Austin Hideaway Off South First / SoCo,78704,0,400,3,24,0
4134,SXSW room in house,78756,1,35,3,2,0
4135,Quiet bedroom for 1 or 2 people in South Austin,78748,1,50,2,25,59
4136,SXSW Modern Apartment,78705,0,240,4,1,0
4137,Perfect for SXSW DT stay with 2 too 6 friends,78703,0,300,4,1,0
4138,Modern East Austin Home,78702,0,138,2,3,0
4139,South Austin 5BR 3BA+Guest House 10 min airport/Dt,78745,0,399,2,79,234
4140,Bright/Comfortable/Convenient East Austin,78702,0,200,3,2,0
4141,Beautiful private room in Austin,78724,1,55,2,0,0
4142,Your Dream Home in Central Austin!,78703,0,664,4,2,180
4143,Suite in updated townhome,78752,0,75,14,28,65
4144,Private Room and bathroom 4 miles from Downtown,78741,1,35,2,9,0
4145,3BD Modern home off South Congress,78704,0,500,3,0,0
4146,Minutes to downtown & The Domain area of Austin,78758,0,193,1,170,77
4147,BRAND NEW Modern Townhouse Loaded with Amenities!,78757,0,200,1,1,0
4148,Large Eastside home in amazing location,78702,0,700,2,0,0
4149,Wyndham/Worldmark Austin- Studio sleeps 4,78701,0,192,2,11,0
4150,Cozy room near the Domain - start here for SXSW!,78727,1,40,3,0,0
4151,Cute private bed & bath in South Austin,78745,1,60,1,2,0
4152,Paw-radise!,78704,1,34,1,6,0
4153,Elegant Arty BR - Great area. Walk to coffee!,78723,1,68,3,3,0
4154,Good Night Sleep ★ Scenic BR in Gorgeous New Home,78753,1,61,1,62,169
4155,Little Yellow East Austin Casita,78702,0,125,2,100,342
4156,Hyde Park Perfection,78751,0,205,3,2,0
4157,Chill living room space,78721,2,35,1,2,0
4158,Modern downtown condo. Experience Austin w/ style,78701,0,500,2,0,0
4159,Perfect for SXSW! 5 min drive from DT and Zilker!,78746,0,300,1,2,0
4160,"Lakeside Casita Azul in East Austin, Near Downtown",78702,0,199,2,57,0
4161,"Brand New, Modern, Hip East Austin Home!",78702,0,399,1,3,0
4162,Apartment with great location!,78738,0,140,2,6,0
4163,Extraordinary East Austin Retreat,78702,0,111,1,300,0
4164,"Affordable, spacious loft apartment East Riverside",78741,0,54,1,9,0
4165,Luxurious 4 Bedroom Home - 7 mins from airport!,78741,0,643,28,5,344
4166,Stay in entire townhome to yourself in Mueller ATX,78723,0,100,2,7,0
4167,"Near DT! Lake Front 3BD, perfect for SXSW",78741,0,350,2,0,0
4168,Private Entrance! In-Law Suite - mins to downtown,78723,0,65,2,253,53
4169,SoCo Modern Retreat: 1 block to everything Austin!,78704,0,250,2,3,0
4170,Downtown upscale condo in heart of CBD,78701,0,135,30,8,297
4171,Airy Attic Room in a New East Side Bungalow,78702,1,99,1,46,0
4172,Private and Hip Centrally Located East Austin Guesthouse,78702,0,106,7,236,18
4173,Joy and Ease in a Zen Inspired Home in Central Austin,78704,0,1299,2,71,0
4174,1105 Angelina - Large Private Bedroom,78702,1,199,1,1,0
4175,Modern Studio in the Heart of East Austin,78702,0,106,1,374,109
4176,"Private room in a modern home, quick drive to DT!",78753,1,65,2,4,0
4177,Park Lane Guest House-The Greenest Little Hotel,78704,1,333,1,5,304
4178,The Beverlyy,78705,0,350,1,0,0
4179,"Private Master suite and media room; pool, hot tub",78746,1,995,3,0,0
4180,The Beverly,78705,0,300,3,0,0
4181,SXSW 2 Bed/1 Bath Hip Home in Central East Austin,78723,0,288,2,0,0
4182,SxSW Arboretum apartment! Outstanding location,78759,0,125,2,2,0
4183,The Palms on Lake Travis,78732,0,629,2,7,59
4184,Cozy duplex within 10 min of downtown Austin,78704,1,100,1,1,0
4185,Book Your Room Today ★ Perfect for All Travellers,78753,1,60,1,59,172
4186,Bedroom - Space & Privacy (5 min from Downtown&UT),78722,1,46,2,3,0
4187,1 private bedroom shared bath,78756,1,55,2,2,0
4188,Shower!Sleep! Do you in Austin!!! Perfect spot!!!,78723,1,20,1,69,0
4189,Nice House for SXSW!!  access to major highways,78744,0,65,1,2,0
4190,The Eastside's Best Private Room & Shared Bathroom,78702,1,65,30,17,317
4191,A Slice of Home away from Home: off UT Campus,78705,0,265,2,0,0
4192,Classic East Side Duplex - Minutes from UT,78722,0,120,3,3,0
4193,"Cozy room, in South Austin, easy check in.",78748,1,35,3,129,145
4194,Spacious 1 Bedroom SoCo,78704,0,88,3,7,0
4195,"Close to SXSW - Comfy, cute, and king-sized!",78704,0,185,2,5,0
4196,Rosedale Efficiency - Central Austin,78756,0,80,30,4,0
4197,Launch pad,78704,0,145,2,0,0
4198,Close to Downtown Austin and UT - Hot tub!,78722,0,329,3,6,158
4199,Great Apartment in Great Location for SXSW & More!,78704,0,199,2,0,0
4200,Garage Efficiency near S Congress.  Private space.,78704,0,89,2,11,0
4201,One bedroom North Austin stay,78759,0,150,2,0,0
4202,Wyndham/Worldmark Austin- Studio sleeps 4,78701,0,192,2,21,0
4203,One Bedroom Apartment in Austin,78704,0,350,5,0,0
4204,Modern Central Austin Apartment with Pool,78705,2,114,1,0,0
4205,★★ Lofts of SoCo ★★ Gated Pool Retreat ★★,78704,0,105,30,131,16
4206,Cozy and eclectic Southeast house w/ private bath,78744,1,40,2,9,0
4207,Spacious and airy Private tiny home,78723,0,160,2,75,179
4208,Honeymoon Suite on a Creek,78723,0,250,3,22,12
4209,Spacious 2/2 in heart of East Austin,78702,0,107,30,3,0
4210,Casa Cozy Clean Hideaway 15-25 Dwntwn & Airport #2,78744,1,30,30,72,0
4211,1 BED APT IN WEST CAMPUS,78705,0,41,1,4,0
4212,Luxury Beautiful 4 Bedroom Home-Close to Downtown!,78703,0,1993,2,10,345
4213,Charming Hill Country Loft with Stunning Views,78733,0,196,2,263,0
4214,1BR in East Austin House for SXSW,78702,1,150,4,0,0
4215,Cozy larger One bedroom in North Austin,78758,0,65,3,1,0
4216,Stay at the Alamo for SXSW!,78702,2,75,7,0,365
4217,New Luxurious Dual-Master Entire House,78702,0,207,7,130,70
4218,Spacious Garden Retreat on Half Acre,78741,0,453,3,32,194
4219,Caribbean Backyard in Austin near Lake Travis,78732,0,399,3,17,0
4220,Wyndham Austin,78701,0,275,7,0,0
4221,Room in Modern Home: 10 mins to Downtown/Airport,78741,1,75,2,4,66
4222,Room 2 in Modern Home: 10 mins to Downtown/Airport,78741,1,100,2,3,66
4223,Private Master Bed & Bathroom in New + Modern Home,78741,1,125,1,3,66
4224,Comfy Brentwood Bedroom,78756,1,150,1,0,0
4225,Comfy one bedroom 15 minutes North of DT Austin,78758,1,65,2,0,0
4226,Adorable Peaceful  Cherrywood Bungalow!!,78722,0,150,3,2,0
4227,"Cozy Mueller home, $300 for 2 beds/$150 for 1 bed",78723,1,300,2,0,0
4228,Great Central Austin hideaway,78751,1,80,2,5,0
4229,Barton Springs SXSW Getaway,78704,0,444,3,0,0
4230,Artisan Retreat,78741,0,150,1,3,0
4231,Peace and quiet in the City,78735,1,84,3,9,0
4232,"Castle Hill, Downtown View
Best Location",78703,0,297,2,78,203
4233,"Downtown Boho, Best location",78702,0,356,2,68,128
4234,SXSW Apartment in Austin,78701,0,350,1,1,0
4235,Spacious SXSW Apartment Prime Location,78741,0,63,1,2,0
4236,2 Bedroom Presidential Suite - Wyndham Austin,78701,1,399,4,0,0
4237,"One little Apartment""",78745,0,100,3,1,0
4238,West Austin Apt  - Private pool. Minutes to Zilker,78746,0,159,2,61,0
4239,East Austin Hip Bungalow,78702,0,400,4,0,0
4240,Luxury Condo for SXSW!,78704,0,350,2,1,0
4241,Cozy Room with Private Entrance in East Austin,78721,1,80,1,4,0
4242,Historical Home In East Austin with Soul,78702,0,250,2,34,195
4243,"Enjoy Beautifully Renovated, Cozy Retreat near Zilker Park",78704,0,216,4,69,267
4244,2BD/2BA SXSW INDUSTRIAL LOFT IN CENTRAL AUSTIN,78702,0,175,4,4,0
4245,616 house,78705,0,600,5,0,0
4246,Sunny Hyde Park Getaway,78751,0,93,4,4,0
4247,Beautiful SW Austin Apartment,78736,0,60,2,3,0
4248,Modern South Congress Home - Walk to Downtown | Professionally Cleaned + Hosted By GuestSpaces,78704,0,413,2,35,295
4249,Cozy Bungalow in Central Austin,78756,0,225,2,2,0
4250,2BR E Austin Bungalow Walking distance to Downtown,78702,0,195,3,4,0
4251,Cute 2bdrm Apt - Perfect home base to explore ATX,78756,0,110,3,38,0
4252,Cozy Austin Getaway with Private Entry,78744,1,55,2,82,69
4253,"Private Spacious Room in House, Minutes from DT/UT",78741,1,55,7,18,88
4254,Great place :),78741,1,40,1,10,0
4255,Vintage Old Austin home close to downtown and SXSW,78705,0,250,2,4,0
4256,Large group house,78724,0,135,2,4,0
4257,"SXSW Great Location, in Hip Eastside Austin.",78721,0,361,2,0,0
4258,"Eastside ""Headquarters""",78702,1,63,2,157,106
4259,"Charming, clean bungalow located in heart of ATX",78703,0,375,2,0,0
4260,"Home away from home, close to Downtown",78704,0,65,2,27,0
4261,"Charming, Clean Home in the Heart of South Austin",78704,0,89,2,1,0
4262,The 1503 B: Covered patio bar & grill/ fire pit,78704,0,139,2,85,127
4263,Mod Eastside Home: 3bd/1 bath (Min 2 month rental),78723,0,110,90,0,90
4264,Sweet Spacious East Austin Home,78721,1,70,2,3,0
4265,Lively and cozy private room in Hyde Park,78751,1,45,1,6,0
4266,En-suite longer term stay in quiet N. Austin house,78727,1,34,30,16,83
4267,Single Room at Rosewood Housing Co-operative,78702,1,47,1,3,0
4268,Upscale & Modern Austin Townhome w/ Pool Access!,78717,0,146,31,1,254
4269,the Sanctuary,78744,1,80,2,5,230
4270,SoCo 1 br apartment near downtown,78704,1,125,5,1,0
4271,"Comfy, easy SXSW room!",78757,1,60,2,1,0
4272,Hill Country 1500 sq ft new garage bungalow,78737,0,100,2,42,0
4273,"2bd, 1.5 bath near downtown",78754,0,200,1,4,0
4274,Quiet Comfortable Room in Central Austin,78705,2,75,1,3,0
4275,Simple elegance in NW Austin - Private Room & Bath,78730,1,47,2,19,0
4276,Quirky east side duplex in the middle of it all,78702,0,120,14,0,0
4277,"Keep it Sleek w/2Bed, 1Bath",78723,0,130,2,2,0
4278,Luxury N. Austin Cozy Apartment,78754,0,50,3,2,0
4279,"Large home w/ pool and tree house, great location!",78737,0,375,2,28,0
4280,Historic Rainey St. Studio Apt. - Downtown View,78701,0,100,1,3,0
4281,Perfect SXSW location! 5 min to downtown!,78746,0,215,1,0,0
4282,Cozy South Austin 1B1BA!! SXSW!,78744,0,100,2,1,0
4283,Modern villa sleep up to 16 - 4 mins to downtown,78702,0,264,3,109,303
4284,South Austin Zen House,78745,0,160,2,0,0
4285,Bright and Modern Eastside Home,78722,0,450,3,0,88
4286,DAY USE ONLY Loft Work area by Riverside Boardwalk,78741,0,70,1,22,0
4287,Great centrally located comfy apt.,78705,1,350,1,0,0
4288,Newly furnished private room close to downtown,78741,1,42,1,64,0
4289,Chill living room space #2,78721,2,35,1,2,0
4290,"Queen bed in Hyde Park 3 miles from DT, $130",78751,1,130,1,0,0
4291,Cozy loft right by SXSW,78704,0,90,1,0,0
4292,"Private Room in central Austin, close to the fun!",78704,1,150,2,0,0
4293,1 bedroom in the heart of SOCO- Week stay for SXSW,78704,0,250,5,0,0
4294,★10 mins to DT/SoCo/Oracle ★ Google Fiber,78745,1,49,1,21,0
4295,"Monthly Rental, Downtown Artist’s Studio",78703,0,168,30,13,98
4296,3 Bedroom Near Downtown in a Quiet Neighborhood,78741,0,280,5,1,364
4297,SXSW Cozy Retreat,78751,1,80,1,2,0
4298,1BD/1BATH 10 minutes from Downtown,78741,1,75,1,1,0
4299,EAST AUSTIN CHARMER,78721,0,475,2,11,179
4300,William Cannon Apartment,78745,0,50,1,3,0
4301,"Cozy Tiny Home ""Adeline""",78751,0,115,2,0,0
4302,Perfect SXSW Home!  Minutes from Downtown!,78704,0,700,3,0,0
4303,Room in a Funky House in Quiet Neighborhood,78741,1,70,3,2,188
4304,Master Suite w/ private bath & entry!,78758,1,46,2,46,0
4305,Perfect 2/2.5 Home 5 mins from downtown & SXSW!,78702,0,450,2,1,0
4306,The 808 B! Short distance to ACL/Rainey /6th&W4TH,78702,0,424,2,10,0
4307,SXSW Recharge Spot,78746,2,85,1,1,0
4308,Downtown Apartment: SoCo,78704,0,199,1,5,0
4309,Allandale getaway for 5!,78757,0,750,4,0,90
4310,Private Bedroom in Georgeous East Austin Home,78723,1,75,1,3,0
4311,The Chateau,78756,0,104,2,89,147
4312,Classic Austin House in North Hyde Park,78751,1,80,2,1,0
4313,Private room in hip East Austin neighborhood,78722,1,210,1,1,0
4314,~*The Wren's Nest*~ Vaccinated Hosts,78704,0,133,2,240,333
4315,NW Austin - Charming Townhome w Garden & Pool,78759,0,200,7,0,89
4316,SXSW Festival Apartment Rental,78701,0,1200,1,0,0
4317,"Quiet, spacious house in Austin w/ backyard",78747,0,196,2,13,78
4318,SXSW Private bedroom in the heart of west campus,78705,1,95,1,3,0
4319,Comfy upstairs area with three beds & two baths,78757,1,150,2,1,0
4320,Cozy apartment with good vibes close to downtown,78704,0,225,1,3,0
4321,Private Room in Home,78754,1,90,2,0,0
4322,Chill living room space #3,78721,2,40,1,2,0
4323,"Spacious, Convenient Room in Mueller!",78723,1,75,60,8,297
4324,"Entire Studio at UT north campus, 5min to downtown",78705,0,100,1,1,0
4325,Peaceful Lake Travis Hideaway,78734,0,145,2,24,363
4326,Modern Hyde Park Home!,78751,0,399,2,24,0
4327,"SXSW House 3BR, 1.5 Bath, full amenities/kitchen..",78748,0,249,2,1,0
4328,Cozy space biking distance to downtown&greenbelt!,78704,0,150,1,10,0
4329,Hopper Home,78703,0,450,1,0,0
4330,Great Apartment Away From Home,78758,0,275,1,1,0
4331,Everybody in Austin wants to know you!,78758,1,51,1,76,0
4332,1 bed/ 1bath private room,78758,1,175,1,0,0
4333,Allandale Gem,78756,1,70,1,1,0
4334,Private room in historic home.,78705,1,125,2,1,0
4335,Charming East Austin Home - Near Dining & Downtown,78702,0,80,2,23,243
4336,Loft Space with Private Deck in East Austin,78721,1,80,1,0,0
4337,House with an Outdoor Pool,78741,0,550,2,131,229
4338,South ATX Succulent City Charm,78745,0,150,3,1,0
4339,Cozy bedroom in East Austin,78723,1,86,1,2,0
4340,Beautiful 1B/1B/living/Den/Kitchen/Dining/W/D,78758,0,74,90,16,294
4341,2 Bedroom Apartment One Available Room,78748,2,50,1,0,0
4342,South Austin Hideaway - Shared room 1 サウスオースチンの隠れ処,78744,2,25,1,28,89
4343,Peaceful Retreat in Montopolis Near Everything!,78741,0,200,2,0,0
4344,Private Eastside Guesthouse Amongst the Trees,78721,0,99,2,85,0
4345,Cute updated two bedroom apartment,78752,0,200,2,0,0
4346,Newly Renovated Southside Escape,78744,0,243,3,19,8
4347,Private room in quite northwest neighborhood,78717,1,25,1,12,0
4348,"Modern, Hyde-Park Guest House",78751,0,95,2,157,141
4349,Private Room Available! just south of Downtown!,78745,1,175,1,1,0
4350,Newly Renovated Spanish Casita Near Downtown,78751,0,90,1,6,0
4351,Private Room Available! South of Downtown!,78745,1,110,1,0,0
4352,2bed/2bath Luxury Home 10min to Downtown,78723,0,140,1,36,0
4353,Wyndham Austin,78701,0,209,3,4,0
4354,Spacious and private Austin 3/2 home,78754,0,180,2,112,69
4355,Third Space,78722,1,53,2,80,123
4356,Clean 1BR/5 min walk to train+extra twin bed,78757,0,100,1,2,0
4357,"Stylish Home with Charming Backyard, Near Downtown",78704,0,125,2,25,326
4358,Cozy ATX Eastside holiday studio getaway,78702,0,75,5,0,0
4359,Walk to Downtown or East Austin Entertainment,78702,0,999,3,16,86
4360,Shoal Creek Getaway,78756,0,794,2,13,363
4361,Studio Heart,78704,0,82,1,9,0
4362,10 min from Circuit of America or 20 min DTown,78724,0,250,2,0,0
4363,The Gonzales | Sweet Stay on the East Side,78702,0,199,1,258,242
4364,Harvest Moon - 5 minutes to downtown!!,78702,0,396,2,111,328
4365,👑KING bed 10 mins to Downtown/SoCo | Google Fiber,78745,1,59,1,27,0
4366,University House Austin,78705,1,2450,76,0,180
4367,Fully stocked Home 2 mi to Domain/15 min to DT!,78753,0,98,2,23,306
4368,Comfortable Sofa Bed North of Campus,78705,2,20,1,3,0
4369,5★ Loft~2 Bdrm~DOWNTOWN~Slps 6~NO FEE~Rooftop Pool,78701,0,435,2,2,361
4370,Dine Under the Grand Modern Chandelier at a Serene Retreat,78757,0,429,3,15,56
4371,Hudson Bend Ranch  - Lavanda,78734,0,125,3,91,69
4372,"Modern, Bright, Studio w/fun backyard near Domain",78758,0,85,4,54,72
4373,Private Waterfront Property on South Shore of Lake Travis is Calling Your Name. The Perfect Getaway!,78734,0,231,2,25,358
4374,Staycation Time! Bring the Boat & Don't Forget the Dog. South Shore Lake Travis Waterfront Property,78734,0,240,2,18,363
4375,The Bluff House on Lake Austin,78730,0,2643,2,11,353
4376,Contemporary Condo in North-Central Austin,78752,0,90,2,28,0
4377,El Bungalow Uno ~ Dos Casas Eclectic  Eastside ATX,78702,0,125,30,1,358
4378,Large 1 bedroom on Lady Bird Lake,78741,0,175,2,8,0
4379,Relaxing Starts Here - on the 13th Fairway!,78734,0,412,2,13,325
4380,Minimalist East Austin Casita for 2,78702,0,78,2,33,0
4381,Amber’s home,78704,1,120,1,1,179
4382,Beautiful Family Home Minutes From Downtown,78735,0,149,4,109,0
4383,"Tarrytown Home, Minutes to Downtown!",78703,0,750,3,2,321
4384,Quiet House in the Woods Minutes from Downtown,78746,0,117,1,107,50
4385,Beautiful New Home Downtown SXSW ACL F1 HQ,78741,0,658,3,0,262
4386,Sam’s Town Point Spacious South Austin Bunkhouse,78748,0,127,1,167,53
4387,Luxurious Austin Condo - Studio Deluxe,78701,0,143,1,9,77
4388,Beautiful 5 bedrooms home for friends and family!,78728,0,331,7,56,248
4389,Elegant N. Austin Retreat | ft. Domain Access,78758,0,187,29,31,100
4390,1/1 Private Studio in Hyde Park -  Central Austin,78751,0,89,2,159,89
4391,Custom Modern Architecture Oasis with Outdoor Pool,78704,0,850,7,7,39
4392,Freshly remodeled cute 2BD/1BA with kitchen/living,78721,0,92,1,156,80
4393,Lucky 13 Apt ❤2BR|Parking|Wifi|AC|Google|Family,78721,0,107,1,126,89
4394,AUSTIN LAKE HOUSE- A SHORT WALK TO LAKE AUSTIN SPA,78732,0,345,1,45,365
4395,Downtown Adjacent Clarksville Gem in the Heart of Austin,78703,0,162,28,47,259
4396,Downtown Austin - 2 Bedroom Condo,78701,0,295,2,5,0
4397,Home away from home!,78754,0,100,2,0,0
4398,Modern guesthouse in historic East Austin,78702,0,119,2,90,9
4399,Mariposa House - all backgrounds welcomed!,78751,1,48,1,14,0
4400,Quaint room in North Austin — business / tech,78753,1,50,1,0,0
4401,Austin Getaway with Pool in Northwest Hills,78731,0,230,2,1,0
4402,Bedroom 2 with shared bathroom,78729,1,27,1,199,213
4403,Gated Private Estate on Lake Austin,78746,0,995,3,3,172
4404,ZTOWN,78723,1,449,1,0,365
4405,Resort like downtown luxury condo with view,78701,0,160,7,9,362
4406,New Home with lots of extras,78702,0,275,3,15,0
4407,“Dolce Vita” North Central Austin,78752,0,95,2,98,87
4408,Contemporary Lake Austin Estate. Eleven Minutes to Downtown,78746,0,357,30,10,0
4409,Super Cute Private 1 Bedroom w/ Private Bath!,78758,1,39,1,0,0
4410,3 Bedroom Presidential Suite - Wyndham Austin,78701,1,400,3,0,0
4411,Cute Austin Apartment Near Downtown,78741,0,50,2,7,0
4412,Modern Designer Home in Travis Heights Steps from SOCO,78704,0,298,2,95,331
4413,"Stylish home in quiet neighborhood, East Central",78723,0,135,2,8,0
4414,Cozy cool Apartment on the EastSide,78722,0,100,1,0,0
4415,★East Austin Bungalow★Home Office★ACL Homebase★,78702,0,400,2,4,254
4416,Central Austin Apartment,78705,1,400,2,5,336
4417,"Austin, TX, Studio Deluxe #2",78701,0,188,1,18,79
4418,"Austin, TX, Studio Deluxe #1",78701,0,188,1,3,79
4419,Downtown Austin,78704,0,150,1,3,0
4420,"Private room, bath, entrance, and office - sublet!",78702,1,30,21,0,0
4421,Evans: Central Austin Young Professional Community,78751,1,41,30,3,342
4422,Shine so Bright,78724,1,25,45,0,345
4423,Clean and cool apartment off South Lamar,78704,0,79,1,1,0
4424,"Spectacular East Austin Home w/Private Pool, Backyard Oasis & perfect locale for ACL, COTA, SXSW.",78702,0,2455,2,2,279
4425,"Cozy, Witchy, Central Apartment + Optional Tarot",78704,0,106,2,4,0
4426,Minimalist 1300 sqft townhouse close to The Domain,78728,1,75,1,0,0
4427,Spacious Room+Private Bath/Near airport & downtown,78741,1,65,1,103,80
4428,ATX Amazing House with Big Backyard (Entire House),78729,0,169,1,12,0
4429,Luxury living in iconic South Congress area,78704,0,180,1,12,0
4430,Crestview Station Casa,78757,0,67,30,116,74
4431,Stunning  Bungalow Downtown Austin Home.,78702,0,575,2,89,168
4432,San Marin Apt Room,78759,1,41,1,4,0
4433,Austin Home with a View like a Treehouse,78759,1,31,30,3,0
4434,Bedroom 1 with shared bathroom,78729,1,26,1,153,268
4435,Austin One bedroom condos,78701,0,332,2,2,180
4436,"1 BR Deluxe Wyndham in Downtown Austin, Texas",78701,1,199,2,0,0
4437,2 BR Presidential Club Wyndham downtown Austin,78701,1,315,2,18,0
4438,Hill Country Honeymoon Suite,78737,0,129,2,32,97
4439,Sweet home,78725,0,174,2,73,316
4440,Luxury Lake Travis Villa w/ Panoramic Views - 25 minutes to Downtown | Professionally Cleaned + Hosted By GuestSpaces,78732,0,667,2,83,342
4441,Eclectic & Walkable North Loop Escape,78751,0,92,1,14,0
4442,Stylish New Downtown Condo with Bikes,78701,0,166,2,195,95
4443,Relax and enjoy. Huge master bedroom and bath,78754,1,25,1,32,0
4444,Adorable Travis Heights charmer on a quiet street,78704,0,170,3,49,0
4445,Encino Viejo (Old Oak)-Ranch Style Home on 5 Acres,78737,0,456,3,18,288
4446,2 bed/2 bath near downtown Austin,78702,0,100,2,3,0
4447,Great location for exploring Austin - 2 mi to Dwtn,78704,0,192,2,187,51
4448,Peaceful Guesthouse 1 mile from Downtown,78702,0,157,2,72,5
4449,Cozy Bachelor Pad,78741,0,60,3,1,0
4450,South Austin Cottage,78737,0,129,2,17,0
4451,★ Private Room: 5 Min To Airport + Extras ★,78744,1,36,1,155,0
4452,Beautiful apartment on 5 acres near Texas capital,78745,0,135,4,57,252
4453,Little blue vintage house in East Austin,78702,0,66,2,19,0
4454,1 Block from South Congress! Cozy & Fresh Cottage with Free WiFi/Parking & Patio. 3+-night special!,78704,0,363,2,3,331
4455,MrAtxPlace,78749,2,25,1,5,0
4456,Tasteful Austin Compound One Block off South Congress Ave -  Perfect for Groups Traveling Together!,78704,0,843,3,2,278
4457,Spacious west campus condo near downtown Austin!,78705,0,125,1,18,0
4458,Hyde Park Craftsman Guest House,78751,0,150,2,45,0
4459,Minimal Candy Colored Austin Hideaway,78751,0,45,3,17,0
4460,DOWNTOWN VIEW! CLOSE TO EVERYTHING! HEPA FILTERED!,78741,0,140,2,28,0
4461,Sunrise and Sunsets in Lakeway,78734,0,173,2,0,69
4462,Sunny Room near Downtown,78702,1,50,5,25,0
4463,Huge Modern Loft in the Heart of East 6th Street,78702,0,132,1,302,60
4464,Cozy Room in the Best Neighborhood in Austin,78704,1,95,3,5,149
4465,Spacious Modern Home in Austin - Perfect Location,78704,0,500,7,4,296
4466,Beautifully Designed Private Room in Austin,78704,1,95,3,11,0
4467,Thrifty & Functional Eastside 2Bd Apt near Downtwn,78721,0,78,1,139,153
4468,North Austin Zen Retreat,78758,1,42,1,18,0
4469,CASA Austin,78746,0,450,3,15,169
4470,Austin Guest Flat - 1000sq ft Home Away From Home,78729,0,78,1,166,107
4471,Club at summer valley,78745,1,30,1,1,0
4472,Right in the heart of Austin Texas,78745,0,200,1,46,178
4473,★Dtown Luxury★Heated Pool&Spa★Professional Clean★,78731,0,826,1,49,356
4474,Newly Remodeled Hyde Park Studio,78751,0,92,20,54,323
4475,Lake Travis Star Retreat,78734,0,191,2,95,237
4476,Craftsman-Style Bungalow Perfect For Couples,78721,0,91,2,36,285
4477,Cherrywood Gem,78722,0,300,3,20,319
4478,New Austin Townhouse - Green Room,78729,1,124,1,26,67
4479,Summer Vacation Rental - The Collier St. Cottage,78704,0,169,60,0,85
4480,One Bedroom- Clean and Quaint,78728,0,50,1,2,0
4481,"Gorgeous, Lake Travis Views , 3 story 4 balconies",78732,0,918,2,88,301
4482,ATX Amazing House with Big Backyard (Room Rental),78729,1,49,1,4,0
4483,Rainey St. Condo Available,78701,0,200,3,4,0
4484,Stunning Waterfront Retreat on Lake Travis w/ Resort Style Pool | Professionally Cleaned + Hosted By GuestSpaces,78734,0,1099,2,42,32
4485,Mod Austin Home with Metro Rail Access,78757,0,199,4,46,123
4486,Modern Guest House - Hyde Park,78751,0,148,1,4,0
4487,"Delightful cottage with full kitchen, private washer/dryer, and downtown views!",78702,0,176,2,2,346
4488,Cute 1bedroom in old west Austin,78703,0,100,2,1,0
4489,Cozy Bungalow in Hyde Park,78751,0,145,1,48,0
4490,Close to Downtown Austin 2,78741,1,41,1,218,0
4491,Austin Duplex near Zilker Park,78704,0,111,2,119,241
4492,"""The green house""- walk to bars and restaurants",78722,0,150,1,11,0
4493,Modern and Spacious Blue Tree House,78704,0,259,2,78,38
4494,Man cave,78705,1,50,1,1,179
4495,2 BR Deluxe Wyndham in Downtown Austin Texas,78701,1,234,2,1,0
4496,Minimalist Studio with a View,78723,0,55,2,6,0
4497,Tiny Home out in the country but still in Austin,78736,0,215,2,35,7
4498,Eclectic one bedroom in the heart of South Austin,78704,0,200,2,2,0
4499,EZ Check-in Historic ECO Pecan TreeHouse DnTwn UT,78705,0,110,2,136,76
4500,Cute 1BD/1BTH Apt. near downtown!,78741,0,59,3,2,0
4501,Pompton,78757,0,120,3,0,0
4502,Modern Barn Guest House in Downtown East Austin,78702,0,130,2,21,0
4503,Incredible value! Close to downtown and airport.,78748,1,43,1,183,10
4504,The Provident by Lodgewell. Private Escape Downtown Austin,78701,0,714,1,54,13
4505,Austin Apartment in South Lamar/Close to DNTN,78704,0,89,3,2,0
4506,Privet bedroom in southeast Austin,78744,1,35,1,14,0
4507,Modern 2 bedroom Apartment with a Pool View,78728,0,140,2,3,0
4508,Private Sanitized Eastside studio apt near Airport,78721,0,72,1,134,89
4509,Charming Clarksville Townhome!,78703,0,249,30,2,97
4510,"Austin, TX, 2-Bedroom Z #1",78701,0,283,1,6,38
4511,"Austin, TX, 2-Bedroom S #1",78701,0,283,1,0,0
4512,Casita Poquita - Historic East Austin Retreat,78702,0,110,2,111,323
